code;name;sell_price;buy_price
TS-00005;"TUERCA STORZ 1""  h.p.p. B.S.P Con hilo hi-he 1""";8045;0
TS-00006;"TUERCA STORZ 1.1/2""  h.p.p. B.S.P Con hilo hi-he 1,1/2""";10397;0
TS-00007;"TUERCA STORZ 2""   h.p.p. B.S.P    Con hilo hi-he 2""";10463;0
TS-00008;"TUERCA STORZ 2.1/2""  h.p.p. B.S.P Con hilo hi-he 2,1/2""";20056;0
TS-00009;"TUERCA STORZ 3"" h.p.p. B.S.P Con hilo hi-he 2,1/2""";21756;0
TS-00010;"TUERCA STORZ 4"" h.p.p. B.S.P Con hilo hi-he 2,1/2""";55307;0
US-00006;"UNION STORZ 1"" C/L-C/C CON COLA 1""";8887;0
US-00007;"UNION STORZ 1.1/2""  C/L-C/C CON COLA 1.1/2""";11144;0
US-00008;"UNION STORZ 2"" C/L-C/C CON COLA 2""";11144;0
US-00009;"UNION STORZ  2.1/2""  C/L-C/C CON COLA 2""";18048;0
US-00010;"UNION STORZ  3"" C/L-C/C CON COLA 2""";21550;0
US-00011;"UNION STORZ  4""  C/L-C/C CON COLA 2""";36305;0
BI-FU007;"BIFURCACION CON DOS ENTRADAS Y UNA SALIDA DE 4"" HE ";138592;0
BI-FU008;"BIFURCACION CON DOS ENTRADAS Y UNA SALIDA DE 4"" HE  CON TAPA STORZ";174191;0
BI-FU009;"BIFURCACION UL/FM BRONCE IMPORTADA DE USA 4"" NPT";255600;0
BI-FU010;"BIFURCACION UL/FM BRONCE IMPORTADA DE USA 6"" NPT";695800;0
VS-00008;"VALVULA SOLA SIN STORZ 1.1/2""";21324;0
VS-00009;"VALVULA CON STORZ 1.1/2""";29536;0
VS-00010;"VALVULA CON TAPA Y STORZ 1. 1/2""";34080;0
VS-00011;"VALVULA CON SOTRZ 1""";59542;0
VS-00012;"VALVULA CON TAPA Y STORZ 1""";66495;0
VS-00013;"VALVULA CON SOTRZ 2""";31808;0
VS-00014;"VALVULA CON TAPA Y STORZ 2""";37488;0
VA-00014;"VALVULA 2.1/2""CON  STORZ";40896;0
VA-00015;"VALVULA 2. 1/2"" CON TAPA Y STORZ";47712;0
VA-00016;"VALVULA 3"" CON STORZ";47712;0
VA-00017;"VALVULA 3"" CON TAPA Y STORZ";55664;0
VG-00010;"VALVULA ANGULO CERTIFICACION UL SIN STORZ 1.1/2""";62480;0
VG-00011;"VALVULA ANGULO CERTIFICACION UL CON STORZ 1.1/2""";78384;0
VG-00012;"VALVULA ANGULO CERTIFICACION UL CON STORZ Y TAPA1.1/2""";86336;0
VG-00013;"VALVULA ANGULO CERTIFICACION UL SIN STORZ 2.1/2""";73840;0
VG-00014;"VALVULA ANGULO CERTIFICACION UL CON STORZ 2.1/2""";101104;0
VG-00015;"VALVULA ANGULO CERTIFICACION UL CON STORZ Y TAPA 2.1/2""";107920;0
CA-R6001;CARRETE STANDARD AR-600 CON 25 MT DE MANGUERA SEMI RIGIDA Y PITON CHORRO-NEBLINA;102240;0
CA-R6002;CARRETE STANDARD AR-600 CON 30 MT DE MANGUERA SEMI RIGIDA Y PITON CHORRO-NEBLINA;107920;0
CA-R6003;CARRETE STANDARD AR-600 CON 35 MT DE MANGUERA SEMI RIGIDA Y PITON CHORRO-NEBLINA;124960;0
CA-R6004;CARRETE STANDARD AR-600 CON 40 MT DE MANGUERA SEMI RIGIDA Y PITON CHORRO-NEBLINA;139160;0
CA-R6005;CARRETE STANDARD AR-600 CON 45 MT DE MANGUERA SEMI RIGIDA Y PITON CHORRO-NEBLINA;153360;0
CA-R6006;CARRETE STANDARD AR-600 CON 50 MT DE MANGUERA SEMI RIGIDA Y PITON CHORRO-NEBLINA;191700;0
GB-AR601;GABINETE STANDARD AR-600 CON 25 MT DE MANGUERA SEMI RIGIDA Y PITON CHORRO-NEBLINA;156200;0
GB-AR602;GABINETE STANDARD AR-600 CON 30 MT DE MANGUERA SEMI RIGIDA Y PITON CHORRO-NEBLINA;156200;0
GB-AR603;GABINETE STANDARD AR-600 CON 35 MT DE MANGUERA SEMI RIGIDA Y PITON CHORRO-NEBLINA;173240;0
GB-AR604;GABINETE STANDARD AR-600 CON 40 MT DE MANGUERA SEMI RIGIDA Y PITON CHORRO-NEBLINA;188576;0
GB-AR605;GABINETE STANDARD AR-600 CON 45 MT DE MANGUERA SEMI RIGIDA Y PITON CHORRO-NEBLINA;173240;0
GB-AR606;GABINETE STANDARD AR-600 CON 50 MT DE MANGUERA SEMI RIGIDA Y PITON CHORRO-NEBLINA;188576;0
GB-ST-607;GABINETE STANDARD AR-600. PUERTA VIDRIADA FABRI. EN LAMINA DE ACERO EN 1MM Y PINTURA EPOXICA 90 MIC.;73840;0
GB-ST-608;GABINETE STANDARD AR-600. PURTA DE MALLA  FAB.  EN LAMINA DE ACERO Y PINTURA EPOX.;85200;0
GB-ST-610;CARRETE STANDARD AR-600 CON 15 MT DE MANGUERA SEMI RIGIDA Y PITON CHORRO-NEBLINA MODELO BARBARA;96560;0
